,"J-S div (O-AR, 0)","J-S div (O-PR, 0)","J-S div (O-AR, 1)","J-S div (O-PR, 1)","Pearson (O-AR, 0)","Pearson (O-PR, 0)","Pearson (O-AR, 1)","Pearson (O-PR, 1)","Spearman (O-AR, 0)","p-value (O-AR, 0)","Spearman (O-PR, 0)","p-value (O-PR, 0)","Spearman (O-AR, 1)","p-value (O-AR, 1)","Spearman (O-PR, 1)","p-value (O-PR, 1)","RBO (O-AR, 0, red)","RBO (O-PR, 0, red)","RBO (O-AR, 1, red)","RBO (O-PR, 1, red)","RBO (O-AR, 0, syn)","RBO (O-PR, 0, syn)","RBO (O-AR, 1, syn)","RBO (O-PR, 1, syn)"
100307,0.01239286737410386,0.05357517075191868,0.009725547072325272,0.007328015472477693,0.939818389948623,0.9295580624990466,0.92691322028155,0.9297273911600001,0.9219566139566142,0.0,0.912799044799045,0.0,0.9224004224004225,0.0,0.9343168063168065,0.0,0.8851256010602951,0.8742050940422328,0.8732390286997727,0.8753827391122824,0.8265939390970718,0.8129291389444675,0.8328353937167325,0.8461517943494248
100408,0.054497333704358934,0.0745709733071781,0.10519572048120733,0.02843929257375798,0.9785384491088053,0.9800602915557821,0.9426920085003713,0.9480069181665448,0.977988353988354,0.0,0.9824316344316345,0.0,0.9491604731604733,0.0,0.9506880866880868,0.0,0.9263073783237696,0.929933843327558,0.8916859781288388,0.8960469199252958,0.9041387046361061,0.9108903046505819,0.8637788770635326,0.8609405255943571
101107,0.037364141677625494,0.013705371480707645,0.02523779549571442,0.047026541727963195,0.8781772235392746,0.9017504212902084,0.9227357684964701,0.9285751439380281,0.868935124935125,4.11461674125192e-307,0.9005587925587928,0.0,0.927962031962032,0.0,0.9334289254289253,0.0,0.8315185175816668,0.8438839508167006,0.8522997032997323,0.8607109775798796,0.8302252858713824,0.8609714787952141,0.8665878152601791,0.8704654758277965
101309,0.007923370006497342,0.0029376389650060874,0.6412863298689142,0.4944560145811451,0.9308360832060263,0.9348584958562768,0.9140080187476493,0.9468168869230289,0.9291791091791093,0.0,0.9388375348375348,0.0,0.8552671232671232,3.371729752961125e-287,0.9154874674874675,0.0,0.875371624280252,0.8794975089823155,0.8522900587106986,0.8866300996974797,0.8477645615634134,0.8752988583549305,0.7660743464833618,0.8202421581166929
101915,0.015069520454325764,0.0025572881782197714,0.011092187188917059,0.180220697493002,0.9609252400535007,0.9712952074213905,0.9046721320294446,0.9296893375072195,0.9603484683484683,0.0,0.9688663528663529,0.0,0.8658203058203059,2.2102589638871298e-302,0.8917500637500638,0.0,0.9064833555596148,0.9194660247336673,0.849513342055141,0.8686504038486533,0.8863654904099005,0.9053811120510921,0.7731650730877068,0.7904968446602437
103111,0.025857425339810017,0.02014255906420543,0.010610808021676799,0.3830344670378953,0.9412266988693572,0.9488199571115796,0.8980826827997976,0.9341023779296045,0.8986394266394266,0.0,0.9363384723384724,0.0,0.703927663927664,1.8877309181779772e-150,0.7558751758751759,8.79379397520386e-186,0.8777601967808041,0.8920054082381166,0.8137815082928634,0.8454942857835517,0.7941165047504214,0.8327941766447089,0.7187076791526071,0.7257935345692083
103414,0.007351794122809967,0.01158121944842323,0.048458898077405874,0.012248209591303592,0.8645356850752148,0.9054239153660919,0.8641487248775769,0.9105042922251869,0.7711031311031312,7.060340173501493e-198,0.80589328989329,2.0765305002171986e-229,0.8206565686565687,8.52578338005336e-245,0.8751595671595673,6.129153e-317,0.8207208871348267,0.8430963439141438,0.8282126835290132,0.8615534738998905,0.7390704545887765,0.7540951746442143,0.7496911425863958,0.7782473956660004
103818,0.007594182918926171,0.005212436354484942,0.0026832120992783576,0.006608544551295784,0.9618052304202352,0.9720574897866967,0.8961534628751953,0.9106655175713494,0.9577683217683219,0.0,0.9690588570588573,0.0,0.8755549795549796,1.39767e-317,0.9127278487278488,0.0,0.9067311691413064,0.9175998291786316,0.8527222491987182,0.8714056610173887,0.8764623451334104,0.8900133006738756,0.8014007597578421,0.8346381108865176
105014,0.0323187664121076,0.013601577600635047,0.10586444643144584,0.024689091803320823,0.905551799407472,0.9251244315008436,0.9006338516187383,0.9439573631023027,0.8215178935178935,9.760549878431096e-246,0.8666339666339667,1.319414953808488e-303,0.7592014952014953,2.395006326319861e-188,0.83012753012753,1.9610956911310868e-255,0.8415384707911427,0.8598395262551924,0.8343444347646277,0.8678987592115884,0.7466551207008002,0.7812162037991014,0.7247226193130899,0.7642626371914778
105115,0.2221451727418827,0.0288570153815125,0.10445493147048221,0.04027062771855324,0.842831341884514,0.9060834841479398,0.8735586452319742,0.9155759526047389,0.8487185727185727,2.264050897129589e-278,0.9238621918621918,0.0,0.8625826665826667,1.3699220417317988e-297,0.8761087321087322,1.74836e-318,0.8259273234172103,0.8720195661300189,0.8487143232008428,0.8638345364822989,0.7690602963306881,0.8253793188581419,0.7742740724704161,0.7870036884678369
