,Industrials,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas
540,0.2072008100216778,0.01206235892182075,0.025493957743033917,0.2601323071354313,0.21912765686142288,0.21200632991627527,0.1395367017318861
1080,0.04450107957176421,0.15000257920241356,0.058689537712342414,0.14414718132569398,0.09828312690238596,0.0204163798005545,0.4518712832165469
1620,0.1517082478478519,0.18273014875516264,0.024641365080572526,0.22965204152463708,0.1877581278014402,0.13021401614310835,0.08677183856708451
2160,0.11088332438625521,0.32316046717058267,0.7600286080231411,0.37593407967443376,0.5559351149623131,0.17689003354729937,0.2587885088171307
2700,0.11028245780035627,0.0960263467716178,0.1863536217481002,0.17867153257905438,0.6609396855539784,0.3979082587493027,0.033815229952313106
3240,0.17323514531037554,0.07033266565217437,1.0221189344229986,0.2028397008268067,0.3430521366308876,0.19980510255276865,0.27240231085693634
3780,0.37580719778733784,0.07807975225523227,0.21699914139925888,0.21357482477624398,0.2338433832816993,0.16165287734544026,0.38592621395006754
4320,0.33710092928401847,0.16851447102583234,0.09069705200377459,0.21741814002848228,0.21007578693062418,0.30800374584653734,0.2388619560286805
4860,0.08414704532719294,0.13540701507686054,0.15041739856594588,0.4767839093683449,0.817605474471089,0.23018036063808273,0.14994917935979857
5400,0.2232125583939894,0.3186610376038212,0.11152812674778952,0.43597421687652704,0.4785613014835237,0.5191005400072285,0.4164406499901903
