,Industrials,Basic Materials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
540,0.11159708073520286,0.02547572729649636,0.25738025182500734,0.03509652401003653,0.05398910604696439,0.10779575293370117,0.014552406631706191
1080,0.015623706393370107,0.11675783055364586,0.1780217694689043,0.4044871373183993,0.33072030788765455,0.07803157009777839,0.3172328304813913
1620,0.1761301930655131,0.06280365770295122,0.17115569971048264,0.15700018985771189,0.047999411532238356,0.043958388683036254,0.048653020502590696
2160,0.2677272401895807,0.3602466292284643,0.11211895862661092,0.09078541639022991,0.0161713556356723,0.19848711318307127,0.1549701466195444
2700,0.05685891377738708,0.0976395036036544,0.03779292023331596,0.08259106026910482,0.28393288578769565,0.08940287604749686,0.41509659794013376
3240,0.15424309155059618,0.1486401423618098,0.2157091968738821,0.15807160055181746,0.2558719729112523,0.8785178796911352,0.5421414802767464
3780,0.08398527173673444,0.13382864101576053,0.3225004407753686,0.04733254718202029,0.08875257125160281,0.14689470404909324,0.0908037733512795
4320,0.2103666689832593,0.0850350891319146,0.04830379434771911,0.7047796334139224,0.07326279221634768,0.20593214659888676,0.1249431570104757
4860,0.11782175623111765,0.16316961929143653,0.29863422871322837,0.2427230645143295,0.13640174359175514,0.2283212594431409,0.19044508997014267
5400,0.29784125260814864,0.13439300528447823,0.5878179280632642,0.11151523954225906,0.014164179379792552,0.2747182353295685,0.45869312027553044
