,Industrials,Basic Materials,Financials,Health Care,Utilities,Oil & Gas,Consumer Goods
540,1.246342467675416,0.17937064855148985,0.31623948145529157,0.18445893831468937,0.5887261465127573,0.11243042409269581,0.16213484218077054
1080,0.09697906459056982,0.6130243252352473,0.16293466218384361,0.06028803605117177,0.02131403561258253,0.05755878401160797,0.3057610215875523
1620,0.05575656978199152,0.08289177943315,0.11282727301849158,0.2241046727509033,0.11274263111289085,0.06479419514524232,0.11319110244215048
2160,0.16050948034488552,0.03689930323030598,0.13774211325494923,0.13408074710849155,0.07098651074108248,0.05845992723916644,0.16178905457540493
2700,0.19734831492263538,0.3494893607892472,0.14348012994276826,0.13909925592929356,0.07908302212386858,0.0958694418187239,0.13642682457395608
3240,0.4923458934624658,0.8759210060364978,0.4444365564736605,0.13620564524627027,0.06212086773785115,0.0321905967076672,0.3322233198196254
3780,0.05728650230385784,0.08524305473980422,0.15428665665595562,0.11372246435092241,0.16920694508760084,0.1459145632784937,0.12548879087772138
4320,0.23051188317008958,0.14673845933618815,0.1662530952264305,0.7104026862371484,0.03757959823221748,0.1323943259279569,0.15459020869765858
4860,0.04521526854091328,0.11790566293297598,0.11846095924633158,0.0554605847211273,0.19195821989930695,0.16371650142134053,0.08408684557810173
5400,0.2517734346634405,0.05852102803561074,0.15814543394821248,0.09577049532835358,0.09085778732522082,0.05775097736481467,0.21598264873731238
