,Basic Materials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
540,0.23793821210364183,0.2908958258477267,0.16891344352134774,0.22115486358189174,0.12949642862174307,0.28925775554486305,0.0602254342750656
1080,0.09567344285067322,0.02683384425437012,0.12572325691134112,0.011031328195337739,0.10465356655670714,0.04072943821288831,0.055405774447802605
1620,0.10715960679603959,0.14175627233935068,0.23349202637484587,0.25449191597034404,0.6363883163838463,0.056553386746909226,0.15615758389147652
2160,0.2946953101191953,0.19788558487173236,0.1227063591974058,0.3853759334319855,0.2050852988787486,0.2305276313493784,0.4176406138702764
2700,0.2699684578754937,0.11601752674038646,0.30806807133183894,0.3712733069159054,0.2382819981156905,0.07059129929208571,0.3111611911617247
3240,0.1449849986329724,0.1998076872591353,0.13299842037642612,0.21226340986615322,0.05887053524083886,0.22705452190542513,0.21033607637269103
3780,0.2086622756162705,0.04124888407981446,0.0883550216137956,0.055318993204109865,0.14864884214283672,0.12929985494235322,0.34491778244008015
4320,0.13386531036953436,0.08071004382296249,0.16777361466563215,0.0949706961412527,0.05695399077482225,0.06347274216766347,0.11731412958823284
4860,0.07135793494403234,0.18743057018549952,0.2915378955770664,0.016148159464280366,0.08450865540745821,0.1428528473633512,0.1967738809309172
5400,0.12230800665986907,0.21408865578070513,0.052324814376454774,0.09146024521908516,0.10286001300556236,0.0846145404930456,0.21974335966055633
