,Industrials,Financials,Consumer Services,Health Care,Utilities,Oil & Gas,Consumer Goods
540,0.08103189172598843,0.3809727072391328,0.07566432243102525,0.33583678854115506,0.3342245870917317,0.1712039008256383,0.021552584773818696
1080,0.13882543508003972,0.45107712936245464,0.3570586867740967,0.17516305950348812,0.12342522752653776,0.16075135663873444,0.30876733543291673
1620,0.19190117511415053,0.7146449143885557,0.26962840617565476,0.4500785997282038,0.07770898494987888,0.23003727264656157,0.20699526761650694
2160,0.08477509656615465,0.2590750289980126,0.20661109759198784,0.21467182713099459,0.13576443175301237,0.18167317559451296,0.12678144707322003
2700,0.09674775463226354,0.14445145333230472,0.070494597669918,0.2506758896859275,0.19015110009333613,0.09481421901135284,0.1571430338077557
3240,0.05747815183765689,0.05653611354075403,0.05481118027708187,0.06086661462376195,0.09205326682698364,0.06312528919293126,0.06033929314924063
3780,0.10632247250901823,0.0719747881598251,0.12103554066316854,0.10635219562854974,0.11928387738693233,0.10766887333592165,0.18310501418008526
4320,0.08122167019707502,0.0339768437061326,0.035049394342300824,0.08954075161344292,0.13792651196697542,0.039365354341317764,0.16812489840694939
4860,0.06751654046197436,0.05015837223726108,0.011147374986465106,0.12968904066201176,0.12959434824413243,0.10159011939253311,0.2019866371945966
5400,0.1382737600883281,0.15563774743358896,0.0442068818642491,0.14654499014383038,0.05351680304988747,0.0816950241288879,0.1849679321696424
